Số báo danh,Toán,Văn,Ngoại ngữ*,Vật lí,Hóa học,Sinh học,Lịch sử,Địa lí,GDCD,Môn ngoại ngữ
60005522,8,6.75,3.80,7,4.75,5.75,,,,Tiếng Anh
60000720,,4,,,,,5.25,7,,
60001832,8,8.75,6.80,8,6.25,7,,,,Tiếng Anh
60005172,5.80,6,3,4.50,5,4,,,,Tiếng Anh
60001998,8.40,7.50,5.20,7.50,5.50,6.25,,,,Tiếng Anh
60005488,4.20,7.50,3.20,,,,5.25,6.75,8.50,Tiếng Anh
60000370,7.60,8.25,6.60,5,7.25,7.25,,,,Tiếng Anh
60004333,8.40,,,,8,6.50,,,,
60001131,8.60,6.25,7,8,4.75,5.75,,,,Tiếng Anh
60004763,7,7,4,,,,6.50,7,8.50,Tiếng Anh
60004299,8.20,8.50,5.20,,,,4.25,8.25,9.50,Tiếng Anh
60001561,8.80,8.25,6.80,8,6.25,6.50,,,,Tiếng Anh
60003049,8.40,6.25,2.40,8.25,6,6,,,,Tiếng Anh
60001074,8,7.75,5.60,5.25,7.25,6,,,,Tiếng Anh
60004276,7.80,7.75,6.20,,,,6,7.75,9,Tiếng Anh
60003419,3.60,4.50,,,,,3.50,7,,
60001424,6.40,6.50,3,,,,5.75,7.25,8.25,Tiếng Anh
60004626,8.60,8.25,5,7.75,7.75,6.25,,,,Tiếng Anh
60000665,6.80,6.25,4.80,,,,3.75,7.50,9,Tiếng Anh
60002658,4.40,6.50,3.60,,,,5.50,6.75,9.25,Tiếng Anh
60001977,7.80,6.50,4.40,7.25,7.25,7,,,,Tiếng Anh
60005467,7,6.50,4.40,6,5,6,,,,Tiếng Anh
60000235,8,7.50,6,,,,5.25,6.50,9,Tiếng Anh
60002208,9.40,7.50,6.20,8.25,7.50,6.25,,,,Tiếng Anh
60005037,6.80,7.25,3,3,4.50,4.75,,,,Tiếng Anh
60002822,6.80,6.75,4.80,,,,6,7.25,9,Tiếng Anh
60003730,7.20,6.75,5,,,,8.50,7.50,8.50,Tiếng Anh
60003360,8.80,7,,8.50,7.75,6.75,,,,
60002988,8.20,5.50,4.20,7.50,7.75,7.50,,,,Tiếng Anh
60002121,5,5.25,2.60,,,,4.25,5.25,8,Tiếng Anh
60002571,6.80,6.25,2.60,,,,4,8.50,9.25,Tiếng Anh
60002064,7.40,,,,8,8.50,,,,
60000059,6.60,6.75,4.80,,,,2.50,6.50,6.75,Tiếng Anh
60004919,4.80,6,3.40,,,,3.75,5.75,7.50,Tiếng Anh
60002434,6.80,7.50,5.20,,,,5.75,6,8.50,Tiếng Anh
60000409,7,7.25,3.80,6,5.75,5,,,,Tiếng Anh
60002967,7.40,6.50,4.20,,,,5.25,7.75,7.50,Tiếng Anh
60001648,9,6.50,3.80,8.50,6.50,6.25,,,,Tiếng Anh
60003675,9,8,6.60,7.25,8,7.25,,,,Tiếng Anh
60001218,7.80,7.25,7.40,,,,6.25,7.25,8,Tiếng Anh
60003225,8.40,5.50,2.60,,,,7,7.75,8.75,Tiếng Anh
60001536,3.40,,,3,3.75,,,,,
60004734,6.20,,,,3.50,7.50,,,,
60001166,9.20,7.50,7.20,8,8,6,,,,Tiếng Anh
60004364,8.20,6.75,6.60,8,7.50,7.75,,,,Tiếng Anh
60000327,7.20,7.25,7.20,7,4.75,4.50,,,,Tiếng Anh
60005125,8.40,8.25,3.80,6.75,6.50,6.75,,,,Tiếng Anh
60000777,5.20,7.50,1.80,,,,4.75,7,8.25,Tiếng Anh
60003858,6.80,7,4.80,,,,5.50,7.25,9.50,Tiếng Anh
60001865,7,7,4.40,,,,7,7.75,8.75,Tiếng Anh
60005575,4.80,6.75,3.80,,,,5.50,7,9,Tiếng Anh
60000798,6.80,8,5.80,,,,6.75,7.75,6.50,Tiếng Anh
60005060,5.60,7,3.40,,,,6,7.75,8.75,Tiếng Anh
60000262,5.60,6,5.20,,,,7.50,6.75,7.75,Tiếng Anh
60005430,8,6.50,4.40,5,4.50,6.25,,,,Tiếng Anh
60000632,5.40,6.25,3.40,,,,7.75,7.75,8.50,Tiếng Anh
60001920,8.40,6.75,5.20,6,6.25,6,,,,Tiếng Anh
60001189,7.20,6.25,4.20,,,,6.50,8,9,Tiếng Anh
60004671,6.60,6.50,4.20,,,,5.50,7.50,7.75,Tiếng Anh
60001473,6,6.75,,,,,8.75,7,,
60004221,8.40,8.50,7.60,,,,6.50,7.50,9.75,Tiếng Anh
60001023,9,8.25,8.20,,,,7.50,7,8.50,Tiếng Anh
60002526,4.20,6.50,4.60,,,,7.75,7.75,10,Tiếng Anh
60005349,8.60,,,6.75,6.50,,,,,
60002176,5.20,6,2,,,,4.50,5.50,8.50,Tiếng Anh
60004108,6.80,7.25,4.40,,,,8,7,8.75,Tiếng Anh
